,$N$,$P$,$\sigma_N$,$\sigma_P$,$N-N_f$,$\sigma_{N-N_f}$,$\sqrt{N(p)}/p$,$\sigma_{\sqrt{N(p)}/p}$,$E$,$\sigma_E$
1,0.94,100.1,0.09695359714832658,80.1050050050049,0.00019999999999997797,0.19395359714832658,0.00014128007616114057,0.001374745847412772,9.71204179569503,15.399158434135444
3,0.98,200.2,0.09899494936611666,80.1050050050049,0.040200000000000014,0.19599494936611667,0.0010014953874007706,0.000799872150335335,37.81792947445848,29.221080319761825
4,1.699,250.2,0.1303456942135029,80.1050050050049,0.7592000000000001,0.2273456942135029,0.003482497347848436,0.0012868510377562837,57.96499205013498,35.225909602312235
5,2.149,300.3,0.14659467930317255,80.1050050050049,1.2092,0.24359467930317255,0.003661792552485188,0.0011327418696280727,81.70672530471228,40.58596730817737
6,2.512,350.3,0.1584929020492716,80.1050050050049,1.5722,0.2554929020492716,0.0035794290518393764,0.0009674535127714771,108.5412163715792,45.29292038357639
7,3.3489999999999998,400.4,0.1830027322200409,80.1050050050049,2.4092,0.2800027322200409,0.0038765229410317177,0.000919776143722842,138.1852210785524,49.40669478031537
8,3.786,450.4,0.19457646311925808,80.1050050050049,2.8462,0.2915764631192581,0.0037457115083061065,0.0008083003127286277,170.1618887366123,52.96736454747641
9,4.836,500.5,0.2199090721184554,80.1050050050049,3.8962000000000003,0.3169090721184554,0.003943815042840959,0.0007738762360375237,204.277345213581,56.05184387053612
10,4.461,550.5,0.21121079517865557,80.1050050050049,3.5212000000000003,0.30821079517865557,0.0034086940558633546,0.0006346301582316246,240.1136772231011,58.70997755324096
11,4.961,600.6,0.22273302404448247,80.1050050050049,4.0212,0.31973302404448245,0.0033388161772364444,0.0005831007334968387,277.56955626064513,61.01063618694062
12,4.548,650.6,0.2132604042010612,80.1050050050049,3.6082,0.3102604042010612,0.0029196530229453426,0.0004928854400259783,316.2859400881321,62.9968190237244
13,4.111000000000001,700.7,0.20275601100830526,80.1050050050049,3.1712000000000007,0.2997560110083053,0.0025414390511833388,0.00041942616952841526,356.2382837946297,64.72228713454419
14,3.611,750.7,0.19002631396730296,80.1050050050049,2.6712000000000002,0.28702631396730294,0.0021771421561544535,0.0003564614397162814,397.1147102863088,66.21949448106967
15,2.574,800.8,0.16043690348545125,80.1050050050049,1.6341999999999999,0.25743690348545123,0.0015963515512290838,0.00027779898565710216,438.9487171506185,67.5280233739405
16,1.912,850.8,0.13827508813954884,80.1050050050049,0.9722,0.23527508813954884,0.0011589116459749407,0.00022392295479851165,481.4629236538513,68.67098911836426
17,1.4869999999999999,875.9,0.1219426094521517,80.1050050050049,0.5471999999999999,0.21894260945215172,0.0008445366826764209,0.00019288924737887974,503.06255741707497,69.19104377844313
18,1.087,900.9,0.10425929215182692,80.1050050050049,0.1472,0.20125929215182692,0.00042587026514043463,0.0001624415214740443,524.7330331858143,69.67690527309118
19,1.212,925.9,0.11009087155618306,80.1050050050049,0.2722,0.20709087155618305,0.0005634819077976274,0.00016549759936674132,546.5504536517612,70.13310598213548
20,1.4240000000000002,950.9,0.11933147112141038,80.1050050050049,0.4842000000000002,0.21633147112141038,0.0007317749608629638,0.00017227513292410139,568.5059093385064,70.56184034329084
21,1.9240000000000002,963.5,0.13870832707519762,80.1050050050049,0.9842000000000002,0.23570832707519762,0.0010296508002271643,0.0001930076470017412,579.62114032575,70.76815591693831
22,3.261,976.0,0.18058239116813135,80.1050050050049,2.3212,0.2775823911681313,0.0015610127966666904,0.00023845061374668634,590.6797379614238,70.96668567341159
23,4.861000000000001,988.5,0.22047675614449705,80.1050050050049,3.9212000000000007,0.31747675614449705,0.0020032392614031057,0.00027915631206873595,601.7688521918587,71.159317846003
24,5.91,1001.0,0.24310491562286435,80.1050050050049,4.9702,0.3401049156228644,0.0022271673692706665,0.00029914171193374975,612.8875797180251,71.34626865612331
25,6.21,1013.5,0.24919871588754225,80.1050050050049,5.2702,0.34619871588754225,0.0022651125968630535,0.0003006537228264486,624.0350502698491,71.5277452765547
26,5.56,1026.0,0.23579652245103194,80.1050050050049,4.6202,0.332796522451032,0.002094995175172992,0.0002817087547008776,635.210425225898,71.70394623458968
27,5.398,1051.0,0.23233596363886497,80.1050050050049,4.4582,0.32933596363886497,0.0020089866820511277,0.0002693354676053199,657.6416842544775,72.04127434344221
28,3.9989999999999997,1076.1,0.19997499843730465,80.1050050050049,3.0591999999999997,0.2969749984373047,0.0016253664982120953,0.00022960801627163862,680.2655639544673,72.3609199790099
29,1.824,1101.1,0.13505554412907306,80.1050050050049,0.8842000000000001,0.23205554412907306,0.0008539815591461365,0.00016145376421766489,702.8960793924477,72.66165455717953
